koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens
1.0,1.594745374,1.9604,15044.5,0.514,1009.3,0.115879,11.3,5934.0,4.491,-0.38,0.901,0.893,1.784
1.0,4.783002698,2.335,1008.7,0.003,70.6,0.028315,2.5,5170.0,4.574,0.18,0.891,0.807,2.384
1.0,20.50588921,4.0595,2105.5,0.26,78.5,0.041039,3.41,4905.0,4.544,-0.04,0.739,0.761,2.361
1.0,3.340218842,1.9104,1632.6,0.466,71.6,0.037683,2.03,3950.0,4.754,-0.46,0.504,0.493,5.9255
0.0,2.507089906,2.0067,1339.2,1.255,64.9,0.295115,30.26,5926.0,4.506,-0.04,1.03,0.939,1.752
1.0,18.64932728,4.4056,893.6,0.08,46.1,0.027096,3.12,6079.0,4.494,-0.2,1.0189,0.967,1.4815
1.0,4.90144976,4.1654,140.7,0.529,50.6,0.011136,1.7,5851.0,4.192,0.26,1.1273,1.402,0.5749
1.0,9.75192101,4.793,418.0,0.949,28.5,0.024042,2.76,6079.0,4.494,-0.2,1.0189,0.967,1.4815
1.0,38.5576546,5.794,993.0,0.911,39.7,0.03498,4.02,6079.0,4.494,-0.2,1.0189,0.967,1.4815
1.0,3.525632539,2.59959,22335.0,0.12,1996.7,0.13372,11.58,5071.0,4.58,0.08,0.8579,0.788,2.448
1.0,7.748094239,3.5957,2472.1,0.517,113.2,0.046615,5.52,5918.0,4.439,0.32,1.1635,1.079,1.2935
1.0,23.96793669,3.827,1182.3,0.416,27.5,0.03141,1.8,3750.0,4.728,0.08,0.538,0.524,5.235
1.0,8.29561738,1.3421,824.3,0.888,17.9,0.03178,1.82,3750.0,4.728,0.08,0.538,0.524,5.235
1.0,8.11437482,2.2736,1558.0,0.573,56.4,0.037204,2.1,3692.0,4.753,0.21,0.5465,0.517,5.629
0.0,38.036729482,4.34617,82871.6,0.501,1300.0,0.27018,27.5,5575.0,4.521,0.36,1.051,0.932,1.828
0.0,3.747838198,5.0642,616.0,1.121,138.2,0.151387,13.65,5514.0,4.569,-0.04,0.926,0.826,2.312
1.0,14.74914825,6.0995,430.2,0.173,107.4,0.018864,2.89,5851.0,4.192,0.26,1.1273,1.402,0.5749
1.0,21.81295996,4.3791,1175.4,0.053,37.8,0.030952,3.38,5601.0,4.41,0.08,0.934,0.999,1.318
0.0,7.91936937,3.3148,15148.1,0.733,389.0,0.121984,10.34,5690.0,4.584,-0.4,0.8492,0.778,2.551
1.0,15.37562369,3.3169,15337.0,0.692,166.0,0.12103,11.01,4985.0,4.549,-0.2,0.7435,0.744,2.2575000000000003
1.0,8.10363271,3.161,887.9,0.047,39.3,0.026361,2.11,4861.0,4.574,-0.08,0.733,0.732,2.636
1.0,4.71510843,2.506,417.5,0.258,21.3,0.018268,1.46,4861.0,4.574,-0.08,0.733,0.732,2.636
1.0,6.365839713,2.9721,780.7,0.524,70.8,0.026275,2.44,5776.0,4.553,-0.18,0.94,0.851,2.1545
0.0,5.97581754,3.065,962.4,0.941,50.3,0.035468,3.86,6108.0,4.471,-0.08,1.072,0.997,1.525
0.0,2.446737317,4.7211,1177.9,1.241,110.2,0.278526,26.25,5751.0,4.552,-0.14,0.9521,0.854,2.119
1.0,3.04033046,1.8411,10858.8,0.736,568.2,0.104023,8.99,5035.0,4.519,-0.06,0.754,0.791,2.144
1.0,15.33528675,3.897,3081.4,0.773,86.6,0.056,5.0,5325.0,4.581,0.21,0.95345,0.817,2.2715
1.0,7.95825328,4.377,50.0,0.706,14.7,0.006915,1.06,5851.0,4.192,0.26,1.1273,1.402,0.5749
1.0,31.33046135,5.176,5073.8,0.798,117.2,0.072904,6.5,5325.0,4.581,0.21,0.95345,0.817,2.2715
0.0,3.9043425,3.831,16228.4,0.709,323.4,0.125229,12.28,5810.0,4.526,-0.06,0.989,0.898,1.92
0.0,9.286358079,3.49949,44791.4,0.377,1671.1,0.19639,17.61,5670.0,4.523,-0.4,0.82,0.821,2.087
0.0,3.951405455,2.1862,2453.9,1.276,117.2,0.331342,31.44,6046.0,4.539,-0.38,0.953,0.869,2.043
1.0,23.65369415,8.2183,3341.8,0.008,266.3,0.05219,7.89,5739.0,4.191,0.3,1.083,1.384,0.5757
1.0,13.23352214,6.7372,504.6,0.014,49.1,0.020278,3.06,5739.0,4.191,0.3,1.083,1.384,0.5757
1.0,6.15560285,4.9843,285.0,0.235,35.1,0.015336,2.32,5739.0,4.191,0.3,1.083,1.384,0.5757
1.0,2.090811305,3.388,115.9,0.746,19.9,0.010686,1.62,5739.0,4.191,0.3,1.083,1.384,0.5757
1.0,3.180027898,3.5797,120.3,0.196,50.4,0.009989,1.53,5851.0,4.192,0.26,1.1273,1.402,0.5749
1.0,50.4467417,7.159,370.3,0.379,19.4,0.01767,2.67,5739.0,4.191,0.3,1.083,1.384,0.5757
1.0,11.76307164,2.9076,1037.3,0.048,48.9,0.028519,2.35,4959.0,4.603,0.16,0.8405,0.756,2.768
1.0,56.2279271,3.57,862.7,0.7,20.9,0.028683,2.37,4959.0,4.603,0.16,0.8405,0.756,2.768
0.0,2.384052875,3.0918,1268.1,1.178,50.5,0.222925,17.06,4794.0,4.58,-0.22,0.683,0.701,2.789
1.0,7.953547,2.6312,875.4,0.3,38.4,0.026448,2.25,4924.0,4.586,0.1,0.7935,0.766,2.425
1.0,4.14451656,2.3421,391.8,0.004,22.8,0.017441,1.48,4924.0,4.586,0.1,0.7935,0.766,2.425
0.0,4.859386384,2.2757,6044.3,1.259,269.7,0.355227,38.33,6061.0,4.47,-0.1,1.044,0.983,1.538
