kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_num_transits,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens,teff_err1,teff_err2,logg_err1,logg_err2,feh_err1,feh_err2,mass_err1,mass_err2,radius_err1,radius_err2
11493732,FALSE POSITIVE,61.2563628,7.633,5123.3,1.248,85.3,13.0,0.334628,39.87,6144.0,4.402,0.0,1.093,1.091,1.185,154.0,-208.0,0.072,-0.217,0.2,-0.3,0.21,-0.1325,0.46,-0.15
11507101,CONFIRMED,38.3775486,5.588,724.2,0.468,34.7,37.0,0.024901,2.82,5895.0,4.498,0.07,0.99875,0.971,1.4175,118.0,-118.0,0.121,-0.22,0.15,-0.15,0.1175,-0.0945,0.386,-0.124
10910878,CONFIRMED,41.19725502,4.6297,2213.9,0.045,51.2,26.0,0.041693,3.86,5101.0,4.609,-0.12,0.8140000000000001,0.742,2.3795,78.0,-83.0,0.083,-0.106,0.15,-0.15,0.0659,-0.062,0.125,-0.066
10910878,CONFIRMED,6.252962249,2.5819,1036.9,0.105,47.1,167.0,0.028604,2.65,5101.0,4.609,-0.12,0.8140000000000001,0.742,2.3795,78.0,-83.0,0.083,-0.106,0.15,-0.15,0.0659,-0.062,0.125,-0.066
10987985,CONFIRMED,16.01308419,3.2554,1121.9,0.799,33.2,65.0,0.034369,3.1,5015.0,4.499,0.1,0.785,0.826,1.96,164.0,-134.0,0.092,-0.44,0.25,-0.25,0.1308,-0.05645,0.767,-0.082
11018648,CONFIRMED,32.62876672,4.7971,1804.8,0.021,80.0,34.0,0.03852,3.36,5588.0,4.56,-0.3,0.845,0.798,2.351,152.0,-141.0,0.05,-0.223,0.3,-0.26,0.1015,-0.07835,0.337,-0.077
11018648,CONFIRMED,91.7732862,6.473,652.0,0.606,19.1,11.0,0.02432,2.12,5588.0,4.56,-0.3,0.845,0.798,2.351,152.0,-141.0,0.05,-0.223,0.3,-0.26,0.1015,-0.07835,0.337,-0.077
11138155,CONFIRMED,4.959319244,2.22739,9802.0,0.831,696.5,269.0,0.103379,12.21,6080.0,4.457,-0.02,1.03635,1.025,1.261,134.0,-134.0,0.11,-0.183,0.15,-0.15,0.1414,-0.0948499999999999,0.349,-0.13
11152159,FALSE POSITIVE,2.701287801,3.3827,860.4,1.016,48.3,387.0,0.06584,6.54,5550.0,4.468,-0.04,0.889,0.91,1.659,182.0,-163.0,0.091,-0.263,0.26,-0.26,0.105,-0.0772,0.364,-0.105
11153539,CONFIRMED,4.49876511,3.7362,460.0,0.312,29.5,238.0,0.019817,2.1,6075.0,4.486,-0.12,1.048,0.969,1.622,154.0,-203.0,0.052,-0.208,0.22,-0.3,0.1495,-0.13615,0.371,-0.1
11242721,FALSE POSITIVE,19.651209505,5.2514,11766.3,0.723,513.4,59.0,0.106953,12.42,6074.0,4.391,-0.12,1.014,1.063,1.189,158.0,-199.0,0.09,-0.215,0.24,-0.3,0.1694999999999999,-0.122,0.45,-0.144
9579641,CONFIRMED,5.412203927,2.9472,601.6,0.787,166.7,244.0,0.024775,2.94,5779.0,4.339,-0.06,0.941,1.087,1.033,104.0,-115.0,0.132,-0.108,0.15,-0.15,0.0745,-0.056,0.185,-0.142
11304958,CONFIRMED,41.43958662,10.5989,2793.1,0.355,141.1,33.0,0.048175,5.5,5468.0,4.367,0.22,0.93,1.046,1.144,172.0,-149.0,0.153,-0.239,0.18,-0.22,0.09175,-0.068,0.375,-0.183
11391957,CONFIRMED,8.35389523,2.2514,1041.6,0.023,43.4,127.0,0.029305,2.52,5592.0,4.582,-0.28,0.8591,0.787,2.509,152.0,-142.0,0.036,-0.191,0.3,-0.26,0.0935,-0.0912,0.287,-0.073
11403044,CONFIRMED,4.125543472,3.1744,1487.3,0.597,128.6,323.0,0.036796,4.43,6174.0,4.417,0.1,1.162,1.103,1.22,155.0,-223.0,0.056,-0.21,0.18,-0.3,0.2078999999999999,-0.1609499999999999,0.407,-0.128
11414511,CONFIRMED,2.816504904,2.50587,16813.7,0.105,1406.8,474.0,0.117059,12.21,5597.0,4.44,0.02,0.9385,0.96,1.4954999999999998,97.0,-97.0,0.079,-0.261,0.15,-0.15,0.07835,-0.0663,0.371,-0.105
11442465,FALSE POSITIVE,33.93373447,14.561,8503.7,0.812,236.1,31.0,0.095386,7.34,5040.0,4.628,-0.24,0.7817000000000001,0.705,3.146,136.0,-130.0,0.029,-0.07,0.3,-0.28,0.0705,-0.088,0.086,-0.052
12110942,CONFIRMED,3.689920099,2.6557,426.7,0.151,35.6,360.0,0.018878,1.89,5880.0,4.518,-0.06,1.01,0.917,1.844,157.0,-186.0,0.046,-0.2,0.22,-0.28,0.1125,-0.13055,0.341,-0.098
12366084,CONFIRMED,4.431238488,3.15,1010.9,0.405,71.1,302.0,0.02933,3.25,5776.0,4.52,0.07,1.04685,0.931,1.5915,126.0,-126.0,0.06,-0.242,0.15,-0.15,0.1138,-0.0955,0.417,-0.074
12366084,CONFIRMED,11.37936986,2.6255,1023.5,0.911,37.9,109.0,0.035628,3.95,5776.0,4.52,0.07,1.04685,0.931,1.5915,126.0,-126.0,0.06,-0.242,0.15,-0.15,0.1138,-0.0955,0.417,-0.074
